INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,CONTROL,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,AVGFACSAL,PCTPELL,RET_FT4,PCTFLOAN,AGE_ENTRY,FEMALE,MARRIED,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC
Vista College-Beaumont,Beaumont,TX,77701,Council on Occupational Education,vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Vista College-Longview,Longview,TX,75604,Council on Occupational Education,vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Vista College-Killeen,Killeen,TX,76541,Council on Occupational Education,vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Vista College - College Station,College Station,TX,778405107,Council on Occupational Education,www.vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Vista College - Ft. Smith,Ft. Smith,AR,729032629,Council on Occupational Education,www.vistacollege.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.10102887,0.668619606,0.28450986,0.016147471,0.560966331,20003.98685,15199.5
Fremont College,Los Angeles,CA,900102101,NULL,www.fremont.edu,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33135,NULL,NULL,NULL,NULL,29.58364312,0.63197026,0.156133829,PrivacySuppressed,0.54040404,22245.2342,15273
Rob Roy Academy - Woonsocket,Woonsocket,RI,28953210,National Accrediting Commission of Career Arts and Sciences,www.rob-roy.com,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14250,NULL,NULL,NULL,NULL,26.01960784,0.465686275,0.093137255,PrivacySuppressed,0.453125,23115.91667,13274.5
CC's Cosmetology College,Oklahoma City,OK,73112,NULL,www.cccosmetologycollege.com,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18400,NULL,NULL,NULL,NULL,31.65789474,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.535714286,8022,3120
CC's Cosmetology College,Sapulpa,OK,74066,NULL,www.cccosmetologycollege.com,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18400,NULL,NULL,NULL,NULL,31.65789474,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.535714286,8022,3120
CC's Cosmetology College-Texarkana,Texarkana,TX,75501,NULL,www.cccosmetologcollege.com,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18400,NULL,NULL,NULL,NULL,31.65789474,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.535714286,8022,3120
